arquivo_original,arquivo_renomeado
01 - História da Internet.pdf,01___historia_da_internet.pdf
02 - Como funciona a Internet.pdf,02___como_funciona_a_internet.pdf
03 - Como funciona HTML e CSS.pdf,03___como_funciona_html_e_css.pdf
04 - Primeiros passos HTML.pdf,04___primeiros_passos_html.pdf
"05 - Caracteres, parágrafos e quebras de linha.pdf",05___caracteres_paragrafos_e_quebras_de_linha.pdf
06 - Imagens e Favicon.pdf,06___imagens_e_favicon.pdf
07 - Hierarquia de títulos.pdf,07___hierarquia_de_titulos.pdf
08 - Formatação de Textos.pdf,08___formatacao_de_textos.pdf
09 - Listas HTML.pdf,09___listas_html.pdf
10 - Ligações em toda parte.pdf,10___ligacoes_em_toda_parte.pdf
"11 - Imagens dinâmicas, áudios e vídeos.pdf",11___imagens_dinamicas_audios_e_videos.pdf
12 - Trabalhando com estilos.pdf,12___trabalhando_com_estilos.pdf
13 - Cores.pdf,13___cores.pdf
14 - Fontes.pdf,14___fontes.pdf
15 -Seletores personalizados.pdf,15__seletores_personalizados.pdf
16 - Modelo de Caixas.pdf,16___modelo_de_caixas.pdf
17 - Primeiro mini-projeto.pdf,17___primeiro_mini_projeto.pdf
18 - Aprendendo Git e GitHub.pdf,18___aprendendo_git_e_github.pdf
19 - Imagens de Fundo.pdf,19___imagens_de_fundo.pdf
20 - Mini-projeto Cordel.pdf,20___mini_projeto_cordel.pdf
